Belegnr;Empfänger/Auftraggeber;Datum;Vorgangsart;Buchungsinfo;Soll;Haben;Wg
B00001;Fitness First Germany;01.01.2025;Folgelastschrift;MITGLIEDSBEITRAG 01/2025;39,90;;EUR
B00002;Hausverwaltung Bergmann GmbH;01.01.2025;Dauerauftrag;MIETE WOHNUNG 12 01/2025;1.150,00;;EUR
B00003;Allianz Versicherungs-AG;02.01.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 01/2025;42,50;;EUR
B00004;LIDL Vertriebs GmbH;02.01.2025;Kartenzahlung;LIDL DANKT IHNEN;25,00;;EUR
B00005;KAUFLAND BERLIN;04.01.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;85,10;;EUR
B00006;KAUFLAND BERLIN;04.01.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;79,80;;EUR
B00007;Deutsche Bahn AG;05.01.2025;Kartenzahlung;DB FERNVERKEHR TICKET;29,00;;EUR
B00008;EDEKA Sander;05.01.2025;Kartenzahlung;EDEKA SAGT DANKE;52,30;;EUR
B00009;Telekom Deutschland GmbH;05.01.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00010;Lieferando.de;06.01.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;29,00;;EUR
B00011;NETFLIX INTERNATIONAL BV;07.01.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00012;Sparkasse Geldautomat;08.01.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.01/BERLIN;200,00;;EUR
B00013;Vodafone GmbH;08.01.2025;Folgelastschrift;MOBILFUNK RECHNUNG 01/2025;19,99;;EUR
B00014;PayPal Europe S.a.r.l.;10.01.2025;Online-Ueberweisung;PP.4711.PP . LEA HOFFMANN, Ihre Zahlung;31,50;;EUR
B00015;REWE Markt GmbH;10.01.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;40,90;;EUR
B00016;SPOTIFY AB;11.01.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00017;EDEKA Sander;15.01.2025;Kartenzahlung;EDEKA SAGT DANKE;60,30;;EUR
B00018;Vattenfall Europe Sales GmbH;15.01.2025;Folgelastschrift;STROM ABSCHLAG 01/2025;78,00;;EUR
B00019;EDEKA Sander;18.01.2025;Kartenzahlung;EDEKA SAGT DANKE;24,40;;EUR
B00020;AMAZON PRIME MEMBERSHIP;19.01.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00021;AMAZON EU S.A R.L.;20.01.2025;Kartenzahlung;AMZN Mktp DE 837886;61,10;;EUR
B00022;NETTO MARKEN-DISCOUNT;20.01.2025;Kartenzahlung;NETTO FILIALE 3312;38,80;;EUR
B00023;ADOBE SYSTEMS SOFTWARE;22.01.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00024;Cafe Milchbart;23.01.2025;Kartenzahlung;CAFE MILCHBART;11,00;;EUR
B00025;LIDL Vertriebs GmbH;23.01.2025;Kartenzahlung;LIDL DANKT IHNEN;19,60;;EUR
B00026;VAPIANO Berlin Mitte;23.01.2025;Kartenzahlung;VAPIANO MITTE;14,10;;EUR
B00027;Döner Haus Kreuzberg;24.01.2025;Kartenzahlung;DOENER HAUS;8,40;;EUR
B00028;BVG Berliner Verkehrsbetriebe;25.01.2025;Folgelastschrift;DEUTSCHLANDTICKET 01/2025;49,00;;EUR
B00029;LIDL Vertriebs GmbH;25.01.2025;Kartenzahlung;LIDL DANKT IHNEN;47,50;;EUR
B00030;Lieferando.de;25.01.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;24,70;;EUR
B00031;NETTO MARKEN-DISCOUNT;25.01.2025;Kartenzahlung;NETTO FILIALE 3312;37,40;;EUR
B00032;Sparkasse Geldautomat;26.01.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.01/BERLIN;100,00;;EUR
B00033;REWE Markt GmbH;27.01.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;19,00;;EUR
B00034;Döner Haus Kreuzberg;28.01.2025;Kartenzahlung;DOENER HAUS;9,10;;EUR
B00035;Mustermann Systems GmbH;28.01.2025;Lohn  Gehalt;GEHALT 01/2025 PERS.NR 4711;;2.850,00;EUR
B00036;NETTO MARKEN-DISCOUNT;28.01.2025;Kartenzahlung;NETTO FILIALE 3312;19,90;;EUR
B00037;ALDI SÜD;01.02.2025;Kartenzahlung;ALDI SUED SAGT DANKE;40,40;;EUR
B00038;Fitness First Germany;01.02.2025;Folgelastschrift;MITGLIEDSBEITRAG 02/2025;39,90;;EUR
B00039;Hausverwaltung Bergmann GmbH;01.02.2025;Dauerauftrag;MIETE WOHNUNG 12 02/2025;1.150,00;;EUR
B00040;Allianz Versicherungs-AG;02.02.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 02/2025;42,50;;EUR
B00041;DEAN AND DAVID;03.02.2025;Kartenzahlung;DEAN+DAVID 1188;16,80;;EUR
B00042;REWE Markt GmbH;03.02.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;42,80;;EUR
B00043;Bäckerei Steinecke;04.02.2025;Kartenzahlung;BAECKEREI STEINECKE;3,30;;EUR
B00044;LIDL Vertriebs GmbH;05.02.2025;Kartenzahlung;LIDL DANKT IHNEN;30,50;;EUR
B00045;Telekom Deutschland GmbH;05.02.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00046;dm drogerie markt;06.02.2025;Kartenzahlung;DM FIL 8817 BERLIN;13,60;;EUR
B00047;NETFLIX INTERNATIONAL BV;07.02.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00048;PayPal Europe S.a.r.l.;07.02.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;23,50;;EUR
B00049;Vodafone GmbH;08.02.2025;Folgelastschrift;MOBILFUNK RECHNUNG 02/2025;19,99;;EUR
B00050;PayPal Europe S.a.r.l.;10.02.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;10,50;;EUR
B00051;Sparkasse Geldautomat;10.02.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.02/BERLIN;50,00;;EUR
B00052;KAUFLAND BERLIN;11.02.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;36,50;;EUR
B00053;SPOTIFY AB;11.02.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00054;dm drogerie markt;11.02.2025;Kartenzahlung;DM FIL 8817 BERLIN;7,60;;EUR
B00055;KAUFLAND BERLIN;12.02.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;29,40;;EUR
B00056;LIDL Vertriebs GmbH;12.02.2025;Kartenzahlung;LIDL DANKT IHNEN;53,20;;EUR
B00057;Lieferando.de;15.02.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;32,70;;EUR
B00058;Vattenfall Europe Sales GmbH;15.02.2025;Folgelastschrift;STROM ABSCHLAG 02/2025;78,00;;EUR
B00059;DEAN AND DAVID;17.02.2025;Kartenzahlung;DEAN+DAVID 1188;9,80;;EUR
B00060;Lieferando.de;17.02.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;39,30;;EUR
B00061;NETTO MARKEN-DISCOUNT;18.02.2025;Kartenzahlung;NETTO FILIALE 3312;37,10;;EUR
